"MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price","Longitude","Latitude"
"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",141,31770,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Average",1960,1960,"Hip","CompShg","BrkFace","Plywood","Stone",112,"Typical","Typical","CBlock","Typical","Good","Gd","BLQ",2,"Unf",0,441,1080,"GasA","Fair","Y","SBrkr",1656,0,0,1656,1,0,1,0,3,1,"Typical",7,"Typ",2,"Good","Attchd","Fin",2,528,"Typical","Typical","Partial_Pavement",210,62,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",215000,-93.619754,42.054035
"One_Story_1946_and_Newer_All_Styles","Residential_High_Density",80,11622,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","North_Ames","Feedr","Norm","OneFam","One_Story","Average","Above_Average",1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","Rec",6,"LwQ",144,270,882,"GasA","Typical","Y","SBrkr",896,0,0,896,0,0,1,0,2,1,"Typical",5,"Typ",0,"No_Fireplace","Attchd","Unf",1,730,"Typical","Typical","Paved",140,0,0,0,120,0,"No_Pool","Minimum_Privacy","None",0,6,2010,"WD ","Normal",105000,-93.619756,42.053014
"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",81,14267,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Above_Average",1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,406,1329,"GasA","Typical","Y","SBrkr",1329,0,0,1329,0,0,1,1,3,1,"Good",6,"Typ",0,"No_Fireplace","Attchd","Unf",1,312,"Typical","Typical","Paved",393,36,0,0,0,0,"No_Pool","No_Fence","Gar2",12500,6,2010,"WD ","Normal",172000,-93.6193873,42.052659
"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",93,11160,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Good","Average",1968,1968,"Hip","CompShg","BrkFace","BrkFace","None",0,"Good","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,1045,2110,"GasA","Excellent","Y","SBrkr",2110,0,0,2110,1,0,2,1,3,1,"Excellent",8,"Typ",2,"Typical","Attchd","Fin",2,522,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",244000,-93.61732,42.051245
"Two_Story_1946_and_Newer","Residential_Low_Density",74,13830,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Average","Average",1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,137,928,"GasA","Good","Y","SBrkr",928,701,0,1629,0,0,2,1,3,1,"Typical",6,"Typ",1,"Typical","Attchd","Fin",2,482,"Typical","Typical","Paved",212,34,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,3,2010,"WD ","Normal",189900,-93.638933,42.060899
"Two_Story_1946_and_Newer","Residential_Low_Density",78,9978,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Above_Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"Typical","Typical","PConc","Typical","Typical","No","GLQ",3,"Unf",0,324,926,"GasA","Excellent","Y","SBrkr",926,678,0,1604,0,0,2,1,3,1,"Good",7,"Typ",1,"Good","Attchd","Fin",2,470,"Typical","Typical","Paved",360,36,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",195500,-93.638925,42.060779
"One_Story_PUD_1946_and_Newer","Residential_Low_Density",41,4920,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",2001,2001,"Gable","CompShg","CemntBd","CmentBd","None",0,"Good","Typical","PConc","Good","Typical","Mn","GLQ",3,"Unf",0,722,1338,"GasA","Excellent","Y","SBrkr",1338,0,0,1338,1,0,2,0,2,1,"Good",6,"Typ",0,"No_Fireplace","Attchd","Fin",2,582,"Typical","Typical","Paved",0,0,170,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",213500,-93.633792,42.062978
"One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,5005,"Pave","No_Alley_Access","Slightly_Irregular","HLS","AllPub","Inside","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Good","Typical","PConc","Good","Typical","No","ALQ",1,"Unf",0,1017,1280,"GasA","Excellent","Y","SBrkr",1280,0,0,1280,0,0,2,0,2,1,"Good",5,"Typ",0,"No_Fireplace","Attchd","RFn",2,506,"Typical","Typical","Paved",0,82,0,0,144,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",191500,-93.633826,42.060728
"One_Story_PUD_1946_and_Newer","Residential_Low_Density",39,5389,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",1995,1996,"Gable","CompShg","CemntBd","CmentBd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,415,1595,"GasA","Excellent","Y","SBrkr",1616,0,0,1616,1,0,2,0,2,1,"Good",5,"Typ",1,"Typical","Attchd","RFn",2,608,"Typical","Typical","Paved",237,152,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",236500,-93.632852,42.06112
"Two_Story_1946_and_Newer","Residential_Low_Density",60,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Good","Average",1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Typical","Typical","No","Unf",7,"Unf",0,994,994,"GasA","Good","Y","SBrkr",1028,776,0,1804,0,0,2,1,3,1,"Good",7,"Typ",1,"Typical","Attchd","Fin",2,442,"Typical","Typical","Paved",140,60,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",189000,-93.639068,42.059193
"Two_Story_1946_and_Newer","Residential_Low_Density",75,10000,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,763,763,"GasA","Good","Y","SBrkr",763,892,0,1655,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","Attchd","Fin",2,440,"Typical","Typical","Paved",157,84,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",175900,-93.636947,42.05848
"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,7980,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Above_Average","Good",1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Good","PConc","Good","Typical","No","ALQ",1,"Unf",0,233,1168,"GasA","Excellent","Y","SBrkr",1187,0,0,1187,1,0,2,0,3,1,"Typical",6,"Typ",0,"No_Fireplace","Attchd","Fin",2,420,"Typical","Typical","Paved",483,21,0,0,0,0,"No_Pool","Good_Privacy","Shed",500,3,2010,"WD ","Normal",185000,-93.635951,42.057419
"Two_Story_1946_and_Newer","Residential_Low_Density",63,8402,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,789,789,"GasA","Good","Y","SBrkr",789,676,0,1465,0,0,2,1,3,1,"Typical",7,"Typ",1,"Good","Attchd","Fin",2,393,"Typical","Typical","Paved",0,75,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",180400,-93.638647,42.058151
"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,10176,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Good","Average",1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Typical","PConc","Good","Typical","Gd","GLQ",3,"Unf",0,663,1300,"GasA","Good","Y","SBrkr",1341,0,0,1341,1,0,1,1,2,1,"Good",5,"Typ",1,"Poor","Attchd","Unf",2,506,"Typical","Typical","Paved",192,0,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"WD ","Normal",171500,-93.634626,42.057268
"One_Story_PUD_1946_and_Newer","Residential_Low_Density",0,6820,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"BLQ",1120,0,1488,"GasA","Typical","Y","SBrkr",1502,0,0,1502,1,0,1,1,1,1,"Good",4,"Typ",0,"No_Fireplace","Attchd","RFn",2,528,"Typical","Typical","Paved",0,54,0,0,140,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",212000,-93.632913,42.059169
